City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,narwar,25.65,77.9,29.0,21,100,2.56,IN,1681418754
302,ambon,-3.6954,128.1814,25.08,94,40,2.57,ID,1681418755
303,raudeberg,61.9875,5.1352,8.31,63,6,2.25,NO,1681418550
304,clinton,42.587,-82.9199,29.59,28,0,7.72,US,1681418632
305,flinders,-34.5833,150.8552,16.77,90,34,2.68,AU,1681418755
306,neuquen,-38.9516,-68.0591,13.94,54,0,3.09,AR,1681418715
307,smithers,54.7804,-127.1743,6.18,49,75,1.54,CA,1681418727
308,itarema,-2.9248,-39.9167,25.52,86,98,5.68,BR,1681418756
309,bengkulu,-3.8004,102.2655,24.3,89,68,1.61,ID,1681418756
310,vila velha,-20.3297,-40.2925,26.97,86,75,3.6,BR,1681418681
311,milkovo,54.7167,158.6167,-3.86,94,100,4.35,RU,1681418757
312,kasongo-lunda,-6.4667,16.8167,22.35,90,67,0.29,CD,1681418757
313,westport,41.1415,-73.3579,32.53,29,0,5.14,US,1681418731
314,safaga,26.7292,33.9365,21.12,40,0,2.5,EG,1681418758
315,coquimbo,-29.9533,-71.3436,18.85,72,0,5.14,CL,1681418597
316,acapulco,16.8634,-99.8901,30.9,62,40,7.2,MX,1681418657
317,muroto,33.2833,134.15,15.77,73,100,2.62,JP,1681418759
318,disraeli,45.9001,-71.3491,19.96,69,1,5.03,CA,1681418759
319,tarakan,3.3,117.6333,26.95,78,92,0.31,ID,1681418759
320,pisco,-13.7,-76.2167,29.03,58,17,8.75,PE,1681418673
321,talcahuano,-36.7167,-73.1167,15.82,77,100,3.6,CL,1681418716
322,le port,-20.9373,55.2919,25.0,92,74,2.32,RE,1681418761
323,poum,-20.2333,164.0167,24.99,87,100,5.41,NC,1681418623
324,fortuna,40.5982,-124.1573,12.74,64,48,3.58,US,1681418118
325,novoagansk,61.9449,76.6625,-18.55,95,84,4.24,RU,1681418762
326,inuvik,68.3499,-133.7218,-16.58,65,75,3.6,CA,1681418762
327,mabuhay,7.4178,122.8367,26.55,80,75,1.64,PH,1681418762
328,mount isa,-20.7333,139.5,17.87,52,87,2.06,AU,1681418763
329,podporozhye,60.9112,34.1706,-3.61,88,13,4.61,RU,1681418763
330,moose factory,51.2585,-80.6094,5.0,70,100,4.12,CA,1681418763
331,yenagoa,4.9247,6.2642,26.26,88,41,2.27,NG,1681418764
332,brae,60.3964,-1.353,6.63,88,100,4.79,GB,1681418764
333,husavik,66.0449,-17.3389,2.24,90,95,2.1,IS,1681418764
334,emba,48.8264,58.1442,15.98,38,100,8.82,KZ,1681418764
335,bundaberg,-24.85,152.35,15.12,82,0,2.59,AU,1681418280
336,tazovskiy,67.4667,78.7,-19.26,95,100,7.58,RU,1681418765
337,dehloran,32.6941,47.2679,17.09,50,33,1.51,IR,1681418766
338,luau,-10.7073,22.2247,18.16,96,91,1.86,AO,1681418766
339,abu samrah,35.3029,37.1841,10.4,84,0,6.8,SY,1681418766
340,cabo san lucas,22.8909,-109.9124,29.78,44,20,6.69,MX,1681418146
341,makokou,0.5738,12.8642,22.5,91,75,0.33,GA,1681418767
342,havoysund,70.9963,24.6622,1.13,75,9,3.55,NO,1681418767
343,olinda,-8.0089,-34.8553,27.85,65,40,4.12,BR,1681418607
344,port hardy,50.6996,-127.4199,8.1,66,100,4.12,CA,1681418727
345,henties bay,-22.116,14.2845,14.9,83,0,3.93,NA,1681418768
346,basco,20.4487,121.9702,25.65,87,100,5.89,PH,1681418769
347,chapleau,47.8405,-83.4034,20.05,30,20,0.0,CA,1681418727
348,lata,40.1629,-8.3327,13.78,93,93,1.24,PT,1681418626
349,dharmavaram,14.4333,77.7167,29.77,26,95,2.41,IN,1681418770
350,port hawkesbury,45.6169,-61.3485,12.72,48,0,4.12,CA,1681418770
351,gao,16.6362,1.637,31.62,12,81,4.62,ML,1681418770
352,bosobolo,4.1833,19.9,21.97,95,90,1.36,CD,1681418771
353,ahipara,-35.1667,173.1667,18.64,90,55,3.53,NZ,1681418771
354,taoudenni,22.6783,-3.9836,30.39,8,41,3.01,ML,1681418771
355,sabha,27.0377,14.4283,21.26,10,6,4.95,LY,1681418712
356,yerbogachen,61.2767,108.0108,-6.46,84,100,5.59,RU,1681418772
357,inta,66.0317,60.1659,-16.19,96,71,5.4,RU,1681418773
358,fereydunshahr,32.941,50.121,0.39,79,19,2.64,IR,1681418773
359,ponta do sol,32.6667,-17.1,19.84,75,78,1.57,PT,1681418254
360,puerto narino,-3.7703,-70.3831,26.84,91,96,1.54,CO,1681418773
361,kokstad,-30.5472,29.4241,11.72,97,95,0.95,ZA,1681418774
362,taseyevo,57.2169,94.8978,1.34,88,99,3.41,RU,1681418774
363,bardiyah,31.7561,25.0865,16.25,79,0,2.92,LY,1681418775
364,manjacaze,-24.7117,33.8828,20.17,83,0,4.48,MZ,1681418775
365,xingyi,24.1877,102.817,15.01,33,0,1.78,CN,1681418775
